Countries,Electricity Access,Energy Efficiency,Renewable Energy,Overall,,,,,,,,,,,,,,,,,,,,,
Tunisia,100,74.08,76.14,83.41,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,100,65.23,72.29,79.17,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",14.38,10.46,20,14.95,,,,,,,,,,,,,,,,,,,,,
OECD high income,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,100,84.31,76.86,87.05,,,,,,,,,,,,,,,,,,,,,
Austria,100,73,65.57,79.52,,,,,,,,,,,,,,,,,,,,,
Belgium,100,72.77,68.71,80.49,,,,,,,,,,,,,,,,,,,,,
Canada,100,87.69,82.29,89.99,,,,,,,,,,,,,,,,,,,,,
Chile,100,59.38,72.71,77.37,,,,,,,,,,,,,,,,,,,,,
Czech Republic,100,74.85,71.14,82,,,,,,,,,,,,,,,,,,,,,
Denmark,100,78.23,79.29,85.84,,,,,,,,,,,,,,,,,,,,,
Finland,100,73.15,70.57,81.24,,,,,,,,,,,,,,,,,,,,,
France,100,72.38,86.29,86.22,,,,,,,,,,,,,,,,,,,,,
Germany,100,84.54,96.57,93.7,,,,,,,,,,,,,,,,,,,,,
Greece,100,60.69,81.71,80.8,,,,,,,,,,,,,,,,,,,,,
Hungary,100,81.85,79.86,87.23,,,,,,,,,,,,,,,,,,,,,
Ireland,100,85.31,81.43,88.91,,,,,,,,,,,,,,,,,,,,,
Israel,100,50.23,68.29,72.84,,,,,,,,,,,,,,,,,,,,,
Italy,100,89.15,84.14,91.1,,,,,,,,,,,,,,,,,,,,,
Japan,100,68.46,77.43,81.96,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",100,87.23,83.14,90.12,,,,,,,,,,,,,,,,,,,,,
Netherlands,100,83.46,82.29,88.58,,,,,,,,,,,,,,,,,,,,,
New Zealand,100,46.85,53.57,66.81,,,,,,,,,,,,,,,,,,,,,
Norway,100,75.62,74,83.21,,,,,,,,,,,,,,,,,,,,,
Poland,100,49.69,44.86,64.85,,,,,,,,,,,,,,,,,,,,,
Portugal,100,83.46,78.43,87.3,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,100,82.92,82.57,88.5,,,,,,,,,,,,,,,,,,,,,
Spain,100,70.62,66.14,78.92,,,,,,,,,,,,,,,,,,,,,
Sweden,100,67.62,80.43,82.68,,,,,,,,,,,,,,,,,,,,,
Switzerland,100,68.77,86.71,85.16,,,,,,,,,,,,,,,,,,,,,
United Kingdom,100,84.15,90.57,91.58,,,,,,,,,,,,,,,,,,,,,
United States,100,82,58.43,80.14,,,,,,,,,,,,,,,,,,,,,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,39.63,8.92,24.86,24.47,,,,,,,,,,,,,,,,,,,,,
Bangladesh,81,28.92,42.29,50.74,,,,,,,,,,,,,,,,,,,,,
India,70.5,66.38,87.29,74.72,,,,,,,,,,,,,,,,,,,,,
Maldives,100,7.69,24,43.9,,,,,,,,,,,,,,,,,,,,,
Nepal,49.75,26,39.71,38.49,,,,,,,,,,,,,,,,,,,,,
Pakistan,61,34.62,55,50.21,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,100,47.46,55.14,67.53,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,51.13,10.62,30,30.58,,,,,,,,,,,,,,,,,,,,,
